text,label
"Software Engineering Intern required with Python SQL Git and problem solving skills. Apply through official company portal. No fee required.",0
"AI ML Intern role with Python machine learning pandas numpy and FastAPI. Selection through technical interview.",0
"Frontend Developer Internship requiring HTML CSS JavaScript and React. Apply via careers page.",0
"Data Analyst Intern needed with Excel SQL Python and dashboard skills. Official HR email and structured interview process.",0
"Backend Developer Intern with Node.js APIs databases and Git. No registration fee. Apply online.",0
"Machine Learning Engineer Intern with NLP deep learning Python and model evaluation skills. Company domain email provided.",0
"Full Stack Developer role requiring JavaScript APIs database design and deployment knowledge. Apply through official portal.",0
"Business Analyst Intern with communication data analysis and reporting skills. Clear responsibilities and stipend mentioned.",0
"Cloud Intern required with AWS Docker Linux and scripting skills. Interview-based selection.",0
"Cybersecurity Intern requiring networking Linux and security basics. No payment required.",0
"Remote Software Intern with Python Flask SQL and Git. Stipend 15000 per month. Apply through verified company website.",0
"Data Science Intern with statistics Python pandas machine learning and visualization skills. Official recruitment process.",0
"QA Testing Intern needed with manual testing automation basics and bug reporting skills. Company HR email used.",0
"DevOps Intern requiring Docker CI CD Linux and GitHub actions. Realistic stipend and interview process.",0
"Product Intern with research analytics and documentation skills. Apply through company careers page.",0
"Android Developer Intern with Kotlin Java APIs and Firebase. No fee required.",0
"UI UX Intern required with Figma wireframes prototypes and user research skills. Official company email.",0
"Research Intern in NLP with Python transformers embeddings and evaluation skills. Apply via university portal.",0
"Software Developer role with clear responsibilities coding assessment and HR interview. No money required.",0
"Internship for Computer Science students requiring DSA OOP DBMS and Git. Apply through official company link.",0
"Urgent work from home job earn 95000 per month no experience needed pay 1499 registration fee to confirm slot.",1
"Part time typing job earn 80000 monthly simple work send money for activation kit.",1
"Immediate hiring no interview required pay security deposit before joining.",1
"Training fee 999 required to start internship guaranteed certificate and job offer.",1
"Work from home earn huge income daily limited seats pay now on WhatsApp.",1
"Send Aadhaar PAN and bank details on WhatsApp for job verification. Gmail recruiter email.",1
"Data entry job no skills needed earn 70000 per month registration charge applies.",1
"AI internship guaranteed selection pay 2000 onboarding fee today only.",1
"HR from gmail account offering high salary remote job without interview. Deposit required.",1
"Easy online job earn 5000 daily no experience limited seats contact only on WhatsApp.",1
"Company details not available but salary 90000 for fresher pay document verification fee.",1
"Urgent hiring today pay refundable security amount to receive offer letter.",1
"Freelance job simple copy paste work earn 60000 monthly pay portal activation fee.",1
"Internship offer from yahoo mail pay training charges before joining.",1
"Remote job with no interview no skills required high income guaranteed registration fee mandatory.",1
"Pay 499 to unlock interview call for software developer internship.",1
"Telegram hiring group asking fee for joining letter and bank verification.",1
"Limited vacancy government approved online job pay processing fee immediately.",1
"Fake HR asks candidate to transfer money for laptop courier before joining.",1
"Earn from home using mobile only high salary no company website pay subscription fee.",1
"Remote Backend Developer Internship with Python Django PostgreSQL and REST APIs. Apply through official application form. Stipend 20000 per month.",0
"AI Research Intern needed for NLP embeddings transformers and model evaluation. University students can apply through company website.",0
"Data Engineering Intern with SQL Python ETL and cloud basics. Selection includes resume screening and technical interview.",0
"Software Engineer Trainee role requiring Java DSA OOP DBMS and Git. Offer letter only after interview process.",0
"Marketing Analyst Intern with Excel dashboards SQL and reporting skills. No application charges.",0
"Machine Learning Intern remote position with Python scikit-learn pandas and model deployment tasks. Official recruiter email provided.",0
"Frontend Intern needed for HTML CSS JavaScript and responsive UI development. Apply through official careers page.",0
"Cybersecurity trainee with networking Linux and vulnerability assessment basics. Background verification after selection only.",0
"Product Analyst Intern with user research analytics and documentation responsibilities. Clear stipend and duration provided.",0
"Cloud Support Intern requiring AWS Linux Docker and troubleshooting skills. Company domain email used.",0
"Data Science internship at startup requiring Python statistics machine learning and communication skills. Apply using official form.",0
"Full Stack Intern role with React Node APIs databases and GitHub. Interview based shortlisting.",0
"QA Automation Intern with Selenium Java test cases and bug reporting. No payment required at any stage.",0
"Business Development Intern with lead generation CRM and communication skills. Clear responsibilities and stipend mentioned.",0
"Technical Content Intern requiring Python DSA and documentation skills. Apply through verified LinkedIn company page.",0
"Internship opportunity for CSE students in AI ML. Selection through coding test and interview. No processing charges.",0
"Remote Data Analyst role with Excel Power BI SQL and Python. Salary depends on experience and interview performance.",0
"Junior Developer position requiring Git REST APIs and database knowledge. Official HR communication and structured hiring process.",0
"Research Assistant role in computer vision with Python PyTorch and dataset annotation. University collaboration mentioned.",0
"Operations Intern role with documentation Excel and coordination tasks. Apply through official portal only.",0
"Congratulations your profile shortlisted for remote job. Complete document verification by paying refundable processing amount.",1
"Company laptop will be couriered after paying shipping deposit. No interview needed direct joining.",1
"Online internship guaranteed certificate stipend and job offer after paying onboarding charge.",1
"Recruiter asks to join Telegram channel and pay membership fee for interview access.",1
"High salary fresher job with no skills needed. Send personal documents and payment screenshot on WhatsApp.",1
"Official-looking HR message asks bank account details before interview for salary setup.",1
"Remote AI job promises 1 lakh per month for copy paste tasks. Processing fee required.",1
"Candidate selected without interview. Pay verification fee to download offer letter.",1
"Training program disguised as internship with mandatory paid course before selection.",1
"Fake company profile with no website offers immediate joining after wallet payment.",1
"Job offer asks for Aadhaar PAN bank passbook and OTP verification on WhatsApp.",1
"Recruiter says offer letter is ready but asks payment for HR approval.",1
"Part time online typing work with daily payout and registration charge through UPI.",1
"Fake internship promises international certificate and guaranteed placement after fee.",1
"Remote work opportunity asks candidates to buy software kit from company before joining.",1
"Message claims government approved job but asks processing charge through personal UPI.",1
"Recruiter avoids company details and insists urgent payment to reserve vacancy.",1
"Work from mobile job promises fixed income but asks subscription fee.",1
"Fake HR email says interview is optional and payment confirms selection.",1
"Internship offer asks security money for ID card and welcome kit.",1
"Small startup internship using Gmail but shares founder LinkedIn, company website, clear task description and no fee.",0
"Remote content writing internship offers modest stipend, clear responsibilities, writing test and official interview process.",0
"Freelance web development role requires portfolio review, client interview and milestone-based payment. No upfront fee.",0
"Campus ambassador internship with unpaid structure clearly mentioned, no fee and official organization page available.",0
"Entry level sales internship with realistic incentives, clear targets and manager interview.",0
"Suspicious recruiter offers high stipend but does not ask payment, asks for resume and portfolio only.",1
"Job post has vague company name and very high salary but no direct fee request. Communication only through WhatsApp.",1
"Recruiter uses professional language but asks for refundable background check amount after selection.",1
"Remote internship claims guaranteed PPO without interview and asks candidate to install unknown app.",1
"Offer mentions known company name but email domain is misspelled and asks urgent document upload.",1
"AI internship requires Python NLP and FastAPI. Recruiter uses official domain and shares assignment link.",0
"Backend internship requires Node.js MongoDB Express and Git. Hiring through company portal with clear timeline.",0
"Data analyst internship requires SQL dashboards Excel and statistics. No document request before interview.",0
"Software testing internship requires test cases bug reports and automation basics. Stipend 12000 per month.",0
"ML engineer intern role requires model evaluation feature engineering and deployment basics. Technical interview required.",0
